gagang;jalan kecil
bagusss;bagus
lgsng;langsung
kerennn;keren
lsg;langsung
dpn;depan
jugaaa;juga
extra;tambah
stragetis;strategis
always;selalu
mbak;karyawan
berfariasi;bervariasi
sukaaaa ;suka
kak;karyawan
nyama;nyaman
enal;kenal
rooftop;lantai atas
pindh;pindah
pdhal;padahal
ngeroko;rokok
tmpat;tempat
cekatan;gerak cepat
jau;jauh
tato ;taruh
bgttt;banget
ksini;kesini
lagii;lagi
org;orang
kroscek;cek kembali
bgt;banget
comfy;nyaman
yummy;enak
bgs;bagus
klu;kalau
mo;ingin
dreve;sopir
wara;bolak
wiri;balik
antr;antar
rada;sedikt
exstrim ;ekstrim
kerenn;keren
niceee;bagus
buanget;banget
markotop;banget
mantabz;mantap
hasitate;ragu
kru;karyawan
jpt;jemput
thx;terima kasih
murung;murah
engga;tidak
homeey;nyaman
harfiah;nyata
sempittt;sempit
stratefis;strategis
epik;bagus
maknyusss;susah sekali
parahh;parah
matap;mantap
baget;banget
bagusss;bagus
kren;keren
mantaps;mantap
quality;kualitas
sgt;sangat
utk;untuk
fav;favorit
atmosphere;suasana
theater;pertunjukan
hr;hari
spacious;lebar
chanel;saluran
presure;tekanan
parking;parkir
space;tempat
kemn;kemana
booth;tempat jaga
single;sendiri
couple;pasangan
kids;anak anak
definetely;pasti
note;catatan
linen;kain
kejakarta;jakarta
maliopolo;malioboro
bathtub;bak mandi
bar;tempat menjual minuman
mariopolo;malioboro
brankas;tempat penyimpanan barang berharga
higienis;bersih
backpacker;wisatawan
job;kerja
lagiiiiii;lagi
nongkring;nongkrong
menarikk;menarik
ajalah;saja
manyalah;menyala
manyanlah;lumayan
sippp;bagus
iftar;buka puasa
short;singkat
long;panjang
time;waktu
luwar;luar
biasahhh;biasa
spot;titik
mod;perasaan
style;gaya
ajaa;saja
thankyouuu;terima kasih
bangeeet;banget
bet;banget
manteb;mantap
mantep;mantap
syngny;kurangya
strategic;starategis
visit;kunjung
oct;oktober
